Nombre_Maquina,dB_1m
Pala cargadora,98
Pala excavadora,88
Retroexcavadora,87
Pilotadora,87
Camión basculante,93
Dumper,95
Compactadora,100
Martillo neumático,102
Perforadora,98
Grúa torre,96
Hormigonera,90
Bomba de hormigón,95
Sierra de corte,105
Fresadora de asfalto,100
Extendedora de asfalto,103
Rodillo vibratorio,86
Grupo electrógeno,93
Compresor de aire,84
Miniexcavadora,83
Motosierra,103
Apisonadora,99
Cortadora de hormigón,106
Camión cisterna,91
Grúa móvil,95
Plataforma elevadora,85
Descarga tren tolvas,101
Carga tren tolvas,98
Hormigonera,98
Bateadora,95
Estabilizadora,87
Perfiladora,88
Desguarnecedora,105
Niveladora,101
Bulldozer,105
Apisonadora,99
